obs.sp,worms,others,total,percentage_worms
Ruddy Turnstone,0,12,12,0
Whimbrel,1,23,24,5
Black-headed Ibis,11,71,82,14
Red Knot,3,14,17,18
Great Knot,45,200,245,19
Eurasian Curlew,23,60,83,28
Kentish Plover,9,24,33,28
Common Sandpiper,4,8,12,34
Terek Sandpiper,6,10,16,38
Sanderling,9,10,19,48
Common Redshank,29,30,59,50
Bar-tailed Godwit,12,8,20,60
Common Greenshank,13,9,22,60
Pied Avocet,19,9,28,68
Temminck's Stint,15,6,21,72
Asian Dowitcher,11,3,14,79
Dunlin,24,5,29,83
Broad-billed Sandpiper,25,5,30,84
Grey Plover,52,7,59,89
Little Stint,40,5,45,89
Lesser Sand Plover,42,3,45,94
Black-tailed Godwit,35,0,35,100
Curlew Sandpiper,17,0,17,100
