,X,GroupID,Station,Edge_Type,EXP,Replicate,OSO,ABO,CSO,OBO,BHO,SBEO,BWO,MSO,CO,BFO,Total_Ind,Total_Sp.,Tree.density,GBH,H,liana,p_lia,ins,gen
4,4,ASR,ASR123,SR,GT,2,4,6,1,1,2,0,0,3,0,0,17,6,114.6666667,33.21004,7.968945,44.33333333,39.22761575,5,8
8,8,APE,APE123,PE,GT,2,0,3,4,0,3,0,0,1,0,0,11,4,78.66666667,25.75584333,6.026891,39.33333333,49.91862873,4,6
12,12,BLR,BLR456,LR,GT,2,3,0,2,0,0,0,0,2,4,0,11,4,108.6666667,33.38604333,9.351212333,37,32.60373917,5,0
16,16,ALR,ALR123,LR,GT,2,6,2,1,0,6,1,0,4,0,0,20,6,155.3333333,29.8638,8.533420667,43.33333333,27.69049047,7,8
20,20,ELR,ELR131415,LR,GT,1,4,1,1,0,0,0,0,0,0,0,6,3,97.66666667,36.77331333,9.23762,16.66666667,18.14826911,5,1
24,24,DLR,DLR101112,LR,GT,2,6,2,0,0,3,0,0,0,0,0,11,3,143.3333333,32.90865667,9.106675667,46.33333333,32.39140713,6,5
28,28,GLR,GLR192021,LR,GT,1,0,0,2,0,0,0,0,0,0,0,2,1,93.33333333,40.28920667,9.932528667,43.66666667,47.47619048,2,0
32,32,FLR,FLR161718,LR,GT,1,1,3,3,0,0,0,0,0,0,0,7,3,96.33333333,30.25034,8.175416333,26.33333333,27.68197088,4,3
36,36,BSR,BSR456,SR,GT,2,3,1,0,0,6,0,0,0,0,0,10,3,96.33333333,38.26339333,10.30339867,27.33333333,27.82893553,3,7
40,40,BPE,BPE456,PE,GT,2,1,5,3,0,3,0,0,1,0,0,13,5,NA,NA,NA,NA,NA,4,8
44,44,CPE,CPE789,PE,GT,2,2,3,1,0,5,0,0,0,0,2,13,5,NA,NA,NA,NA,NA,3,8
48,48,DSR,DSR101112,SR,GT,3,2,3,2,2,6,0,0,0,0,0,15,5,NA,NA,NA,NA,NA,4,9
52,52,ETE,ETE131415,TE,GT,1,0,1,2,0,2,0,0,0,0,0,5,3,NA,NA,NA,NA,NA,2,3
56,56,DTE,DTE101112,TE,GT,1,1,3,2,0,2,0,0,0,0,0,8,4,NA,NA,NA,NA,NA,3,5
60,60,GTE,GTE192021,TE,GT,1,8,8,5,0,7,0,0,0,0,0,28,4,NA,NA,NA,NA,NA,13,15
64,64,CTE,CTE789,TE,GT,1,5,5,3,0,7,0,0,0,0,0,20,4,NA,NA,NA,NA,NA,8,12
68,68,ESR,ESR131415,SR,GT,1,3,7,1,0,1,0,0,0,0,0,12,4,91.66666667,38.8469,9.851035667,26,26.08862092,4,8
72,72,CSR,CSR789,SR,GT,1,5,2,1,0,0,0,0,5,0,0,13,4,115,34.4821,9.047837667,22.33333333,18.78466077,6,2
76,76,FSR,FSR161718,SR,GT,1,2,3,0,0,3,0,0,2,3,1,14,6,114.3333333,37.60571,10.79053167,24,20.79278654,2,6
80,80,FPE,FPE161718,PE,GT,1,4,7,5,0,6,0,0,0,0,0,22,4,NA,NA,NA,NA,NA,9,13
84,84,ATE,ATE123,TE,GT,1,1,7,1,0,4,0,0,0,0,0,13,4,NA,NA,NA,NA,NA,2,11
88,88,DPE,DPE101112,PE,GT,1,0,8,3,0,0,0,0,0,0,0,11,2,NA,NA,NA,NA,NA,3,8
92,92,FTE,FTE161718,TE,GT,1,3,6,2,0,5,0,0,0,0,0,16,4,NA,NA,NA,NA,NA,5,11
